phase difference (o),k,fmin (kHz),fmax (kHz),fmean (kHz),omega,uncertainty (kHz),V_in_min (V),V_in_max (V),V_in_mean (V),V_out_min (V),V_out_max (V),V_out_mean (V),V_out/V_in,stdev
0,1,0.041,0.079,0.06,0.3768,0.038,2.2,2.21,2.205,1.93,1.93,1.93,0.875283447,0.026870058
90,2,2.99,3.07,3.03,19.0284,0.08,2,2.01,2.005,1.83,1.82,1.825,0.910224439,0.056568542
180,3,5.765,5.837,5.801,36.43028,0.072,2.04,2.04,2.04,1.76,1.76,1.76,0.862745098,0.050911688
270,4,8.611,8.713,8.662,54.39736,0.102,2.01,2.03,2.02,1.82,1.81,1.815,0.898514851,0.072124892
0,5,11.6,11.67,11.635,73.0678,0.07,2.05,2.05,2.05,1.89,1.89,1.89,0.92195122,0.049497475
90,6,14.52,14.6,14.56,91.4368,0.08,1.99,2,1.995,1.78,1.77,1.775,0.889724311,0.056568542
180,7,17.37,17.42,17.395,109.2406,0.05,2.07,2.07,2.07,1.66,1.66,1.66,0.801932367,0.035355339
270,8,20.15,20.3,20.225,127.013,0.15,2.07,2.07,2.07,1.73,1.74,1.735,0.838164251,0.106066017
0,9,23.28,23.34,23.31,146.3868,0.06,2.08,2.07,2.075,1.8,1.8,1.8,0.86746988,0.042426407
90,10,26.14,26.25,26.195,164.5046,0.11,1.88,1.85,1.865,1.67,1.68,1.675,0.898123324,0.077781746
180,11,28.86,28.94,28.9,181.492,0.08,1.91,1.91,1.91,1.61,1.61,1.61,0.842931937,0.056568542
270,12,31.55,31.65,31.6,198.448,0.1,1.94,1.94,1.94,1.63,1.63,1.63,0.840206186,0.070710678
0,13,34.48,34.56,34.52,216.7856,0.08,2.09,2.09,2.09,1.66,1.66,1.66,0.794258373,0.056568542
90,14,37.47,37.62,37.545,235.7826,0.15,2.1,2.1,2.1,1.6,1.6,1.6,0.761904762,0.106066017
180,15,40.28,40.34,40.31,253.1468,0.06,2.05,2.05,2.05,1.5,1.5,1.5,0.731707317,0.042426407
270,16,42.86,43.02,42.94,269.6632,0.16,2.07,2.07,2.07,1.53,1.53,1.53,0.739130435,0.113137085
0,17,45.85,45.93,45.89,288.1892,0.08,2.23,2.23,2.23,1.56,1.56,1.56,0.69955157,0.056568542
90,18,48.85,49.01,48.93,307.2804,0.16,2.1,2.08,2.09,1.47,1.47,1.47,0.703349282,0.113137085
180,19,51.43,51.5,51.465,323.2002,0.07,1.9,1.9,1.9,1.35,1.35,1.35,0.710526316,0.049497475
270,20,53.95,54.13,54.04,339.3712,0.18,2.11,2.12,2.115,1.42,1.42,1.42,0.671394799,0.127279221
0,21,56.89,56.96,56.925,357.489,0.07,2.07,2.07,2.07,1.49,1.49,1.49,0.719806763,0.049497475
90,22,59.54,59.77,59.655,374.6334,0.23,2.07,2.07,2.07,1.4,1.38,1.39,0.671497585,0.16263456
180,23,62.09,62.16,62.125,390.145,0.07,2.06,2.06,2.06,1.28,1.29,1.285,0.623786408,0

